album_name,track_name,track_release,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,key_mode
Lover,The Man,8/23/2019,0.777,0.658,-5.191,0.054,0.0767,0,0.0901,0.633,110.048,4,190360,C major
Lover,The Archer,7/23/2019,0.292,0.574,-9.375,0.0401,0.12,0.00569,0.0663,0.166,124.344,4,211240,C major
Lover,I Think He Knows,8/23/2019,0.897,0.366,-8.029,0.0569,0.00889,3.53e-4,0.0715,0.416,100.003,4,173387,C major
Lover,Miss Americana & The Heartbreak Prince,8/23/2019,0.662,0.747,-6.926,0.0736,0.028,0.00615,0.138,0.487,150.088,4,234147,B minor
Lover,Paper Rings,8/23/2019,0.811,0.719,-6.553,0.0497,0.0129,1.36e-5,0.0742,0.865,103.979,4,222400,A major
Lover,Cornelia Street,8/23/2019,0.824,0.624,-9.728,0.0827,0.781,1.89e-4,0.1,0.248,102.012,4,287267,C major
Lover,Death By A Thousand Cuts,8/23/2019,0.712,0.732,-6.754,0.0629,0.454,0,0.319,0.313,94.071,4,198533,E major
Lover,London Boy,8/23/2019,0.695,0.71,-6.639,0.05,0.0246,1.04e-4,0.133,0.557,157.925,4,190240,C# major
Lover,Soon You'll Get Better,8/23/2019,0.433,0.182,-12.566,0.0641,0.907,0,0.123,0.421,207.476,4,201587,C major
Lover,False God,8/23/2019,0.739,0.32,-10.862,0.239,0.736,1.47e-4,0.111,0.351,79.97,4,200307,B minor
Lover,You Need To Calm Down,6/14/2019,0.771,0.671,-5.617,0.0553,0.00929,0,0.0637,0.714,85.026,4,171360,D major
Lover,Afterglow,8/23/2019,0.756,0.449,-8.746,0.0344,0.13,0,0.114,0.399,111.011,4,223293,A major
Lover,ME!,4/26/2019,0.61,0.83,-4.105,0.0571,0.033,0,0.118,0.728,182.162,4,193000,C major
Lover,It's Nice To Have A Friend,8/23/2019,0.737,0.175,-9.912,0.0401,0.971,3.37e-4,0.171,0.545,70.008,4,150440,A# major
Lover,Daylight,8/23/2019,0.557,0.496,-9.602,0.0563,0.808,1.73e-4,0.0772,0.265,149.983,4,293453,C major
folklore,the 1,7/24/2020,0.78,0.361,-6.942,0.048,0.75,7.14e-6,0.108,0.163,139.902,4,210240,C major
folklore,cardigan,7/24/2020,0.612,0.58,-8.572,0.0419,0.525,4.14e-4,0.26,0.534,130.045,4,239560,C minor
folklore,the last great american dynasty,7/24/2020,0.688,0.653,-8.558,0.0403,0.481,0.00414,0.106,0.701,147.991,4,231000,G major
folklore,exile,7/24/2020,0.31,0.374,-8.464,0.0275,0.761,2.46e-5,0.11,0.16,75.938,4,285640,F# major
folklore,my tears ricochet,7/24/2020,0.456,0.265,-10.663,0.0328,0.814,0,0.0679,0.112,129.947,4,255893,C major
folklore,mirrorball,7/24/2020,0.549,0.417,-10.064,0.035,0.686,1.9e-6,0.0604,0.347,110.137,4,208973,G major
folklore,seven,7/24/2020,0.602,0.494,-10.813,0.0277,0.888,2.59e-5,0.0902,0.374,94.955,4,208907,E major
folklore,august,7/24/2020,0.387,0.634,-9.222,0.0363,0.553,6.93e-5,0.0931,0.42,89.567,4,261920,F major
folklore,this is me trying,7/24/2020,0.511,0.478,-9.837,0.0322,0.312,2.3e-5,0.147,0.408,135.882,4,195107,A major
folklore,illicit affairs,7/24/2020,0.529,0.304,-10.567,0.0356,0.862,0,0.108,0.44,119.58,4,190893,A# major
folklore,invisible string,7/24/2020,0.651,0.459,-11.128,0.0507,0.859,6.63e-5,0.105,0.454,83.455,4,252880,E minor
folklore,mad woman,7/24/2020,0.593,0.7,-9.016,0.0492,0.67,6.77e-6,0.116,0.451,141.898,4,237267,D# major
